,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,params,params,system_attrs
,,,,,,C,class_weight,dual,intercept_scaling,l1_ratio,multi_class,penalty,random_state,solver,warm_start,_number
33,33,TrialState.COMPLETE,0.7263906249162128,2020-01-02 00:23:45.794960,2020-01-02 00:23:46.069472,1.2253597130590604e-05,,,,0.08210466929555066,auto,elasticnet,50,,True,33
34,34,TrialState.COMPLETE,0.8151012546292298,2020-01-02 00:23:46.070427,2020-01-02 00:23:46.351556,,,,,,auto,none,72,,True,34
35,35,TrialState.COMPLETE,0.8244968818700847,2020-01-02 00:23:46.352675,2020-01-02 00:23:46.674190,0.0015743597021886761,balanced,,,0.21845068317174587,auto,elasticnet,62,,True,35
36,36,TrialState.COMPLETE,0.8242852307589473,2020-01-02 00:23:46.675184,2020-01-02 00:23:47.080963,0.0014885135022734445,balanced,,,0.024687108704438254,auto,elasticnet,63,,True,36
37,37,TrialState.COMPLETE,0.8241157352610273,2020-01-02 00:23:47.082179,2020-01-02 00:23:47.439432,0.0002632238334489527,balanced,,,0.0006658180107521096,auto,elasticnet,82,,True,37
38,38,TrialState.COMPLETE,0.8244324456376543,2020-01-02 00:23:47.440528,2020-01-02 00:23:47.798400,0.004037618923278282,balanced,,,,auto,l2,59,saga,True,38
39,39,TrialState.COMPLETE,0.0,2020-01-02 00:23:47.799696,2020-01-02 00:23:48.117572,3.422365952808818e-07,balanced,,,0.18826484882673833,auto,elasticnet,78,,True,39
40,40,TrialState.COMPLETE,0.8080578744120981,2020-01-02 00:23:48.118826,2020-01-02 00:23:48.440801,,balanced,,,,auto,none,54,,False,40
41,41,TrialState.COMPLETE,0.8240829092327674,2020-01-02 00:23:48.441881,2020-01-02 00:23:48.769383,0.00012794557667952466,balanced,,,,auto,l2,58,saga,True,41
42,42,TrialState.COMPLETE,0.8240714945820313,2020-01-02 00:23:48.770601,2020-01-02 00:23:49.094796,0.0006608450324883254,balanced,,,,auto,l2,47,saga,True,42
43,43,TrialState.COMPLETE,0.8238786414536889,2020-01-02 00:23:49.095888,2020-01-02 00:23:49.395817,2.3877748855307627e-05,balanced,,,,auto,l2,60,saga,True,43
44,44,TrialState.COMPLETE,0.8203220470901327,2020-01-02 00:23:49.396893,2020-01-02 00:23:49.704500,0.029991561617367445,balanced,,,,auto,l2,69,saga,True,44
45,45,TrialState.COMPLETE,0.5811336253340984,2020-01-02 00:23:49.706368,2020-01-02 00:23:49.983184,1.9241579690026805e-06,balanced,,,,auto,l1,86,saga,False,45
46,46,TrialState.COMPLETE,0.8239804963865156,2020-01-02 00:23:49.984339,2020-01-02 00:23:50.313305,0.008753390634754858,balanced,,,,auto,l2,74,saga,True,46
47,47,TrialState.COMPLETE,0.8246967078660342,2020-01-02 00:23:50.314514,2020-01-02 00:23:50.655100,0.0035013870247613205,balanced,,,0.000605053337682529,auto,elasticnet,37,,True,47
48,48,TrialState.COMPLETE,0.8245506903960701,2020-01-02 00:23:50.656493,2020-01-02 00:23:50.998286,0.0035148028610332695,balanced,,,0.09060822176478865,ovr,elasticnet,37,,True,48
49,49,TrialState.COMPLETE,0.8237366227940861,2020-01-02 00:23:50.999291,2020-01-02 00:23:51.339045,0.00471540121699847,balanced,,,0.4482762844419304,ovr,elasticnet,35,,True,49
50,50,TrialState.COMPLETE,0.8230985536715508,2020-01-02 00:23:51.339849,2020-01-02 00:23:51.683858,0.013496291389275532,balanced,,,0.08203778079351676,ovr,elasticnet,40,,False,50
51,51,TrialState.COMPLETE,0.8219201921165527,2020-01-02 00:23:51.684971,2020-01-02 00:23:52.090053,0.0005031190945802412,balanced,,,0.21986293444752494,ovr,elasticnet,36,,True,51
52,52,TrialState.COMPLETE,0.8248825815447909,2020-01-02 00:23:52.091130,2020-01-02 00:23:52.455293,0.001873438220180548,balanced,,,0.16223849412308372,ovr,elasticnet,46,,True,52
53,53,TrialState.COMPLETE,0.8249947717253023,2020-01-02 00:23:52.456653,2020-01-02 00:23:52.830786,0.0013254424310809533,balanced,,,0.16483700439903848,ovr,elasticnet,37,,True,53
54,54,TrialState.COMPLETE,0.8253484768901383,2020-01-02 00:23:52.832085,2020-01-02 00:23:53.241952,0.0015181530492499693,balanced,,,0.15056225923842914,ovr,elasticnet,45,,True,54
55,55,TrialState.COMPLETE,0.8250488536630354,2020-01-02 00:23:53.243377,2020-01-02 00:23:53.630471,0.0016256887032784462,balanced,,,0.14434841536044904,ovr,elasticnet,27,,True,55
56,56,TrialState.COMPLETE,0.8332228291924892,2020-01-02 00:23:53.631703,2020-01-02 00:23:53.993194,0.0017701576029204315,,,,0.11290614243652256,ovr,elasticnet,28,,True,56
57,57,TrialState.COMPLETE,0.8194133171415876,2020-01-02 00:23:53.994804,2020-01-02 00:23:54.319453,0.020860169043650092,,,,,ovr,l1,28,saga,True,57
58,58,TrialState.COMPLETE,0.7263906249162128,2020-01-02 00:23:54.320630,2020-01-02 00:23:54.680056,0.00039412609493600785,,,,0.06167331133573539,ovr,elasticnet,20,,True,58
59,59,TrialState.COMPLETE,0.796051725541988,2020-01-02 00:23:54.681141,2020-01-02 00:23:55.078756,0.0009326660071603473,,,,0.2567603333721383,ovr,elasticnet,11,,True,59
60,60,TrialState.COMPLETE,0.7263906249162128,2020-01-02 00:23:55.080023,2020-01-02 00:23:55.383205,0.00013600210996833628,,,,0.34213690729723983,ovr,elasticnet,25,,True,60
61,61,TrialState.COMPLETE,0.8292385489871975,2020-01-02 00:23:55.384600,2020-01-02 00:23:55.723085,0.007633401014036351,,,,0.4098751272993864,ovr,elasticnet,46,,True,61
62,62,TrialState.COMPLETE,0.8288886255092669,2020-01-02 00:23:55.724188,2020-01-02 00:23:56.068207,0.0077609914093466105,,,,0.4600095870624923,ovr,elasticnet,31,,True,62
63,63,TrialState.COMPLETE,0.8287801405412833,2020-01-02 00:23:56.068931,2020-01-02 00:23:56.393476,0.0073975930615981095,,,,0.5983863080182389,ovr,elasticnet,31,,True,63
64,64,TrialState.COMPLETE,0.8233719936950991,2020-01-02 00:23:56.394500,2020-01-02 00:23:56.711988,0.008537371032129858,,,,0.7995714425629434,ovr,elasticnet,31,,True,64
65,65,TrialState.COMPLETE,0.8195750133569286,2020-01-02 00:23:56.713085,2020-01-02 00:23:57.029739,0.10185275368384822,,,,0.41139900024678305,ovr,elasticnet,13,,True,65
66,66,TrialState.COMPLETE,0.8250367326011736,2020-01-02 00:23:57.030967,2020-01-02 00:23:57.373408,0.025378420666504132,,,,0.47038318420661135,ovr,elasticnet,41,,True,66
67,67,TrialState.COMPLETE,0.8151012546292298,2020-01-02 00:23:57.374732,2020-01-02 00:23:57.681405,,,,,,ovr,none,33,,True,67
68,68,TrialState.COMPLETE,0.8200426401676244,2020-01-02 00:23:57.682850,2020-01-02 00:23:58.110606,0.059695430810712706,,,,0.5570191681384966,ovr,elasticnet,23,,True,68
69,69,TrialState.COMPLETE,0.8294750128117776,2020-01-02 00:23:58.111621,2020-01-02 00:23:58.553833,0.007262773725635574,,,,0.3900353771755687,ovr,elasticnet,16,,True,69
70,70,TrialState.COMPLETE,0.8295678764811765,2020-01-02 00:23:58.554774,2020-01-02 00:23:58.944973,0.007855382680571203,,,,0.30297467866433947,ovr,elasticnet,18,,True,70
71,71,TrialState.COMPLETE,0.8289280027453761,2020-01-02 00:23:58.946122,2020-01-02 00:23:59.331931,0.013184950774867789,,,,0.3091959420709502,ovr,elasticnet,16,,True,71
72,72,TrialState.COMPLETE,0.8163893233851967,2020-01-02 00:23:59.333047,2020-01-02 00:23:59.687374,0.5874646612701311,,,,0.2669707173000933,ovr,elasticnet,7,,True,72
73,73,TrialState.COMPLETE,0.8235365491591307,2020-01-02 00:23:59.688265,2020-01-02 00:24:00.092876,0.045641505966974194,,,,0.33885342622539594,ovr,elasticnet,16,,True,73
74,74,TrialState.COMPLETE,0.8287872098877964,2020-01-02 00:24:00.094007,2020-01-02 00:24:00.435131,0.01668705229153111,,,,0.10439916762851371,ovr,elasticnet,7,,True,74
75,75,TrialState.COMPLETE,0.8201980560889567,2020-01-02 00:24:00.436215,2020-01-02 00:24:00.819474,0.09501595021353175,,,,0.38990296279989783,ovr,elasticnet,17,,True,75
76,76,TrialState.COMPLETE,0.8321344517488292,2020-01-02 00:24:00.820335,2020-01-02 00:24:01.230354,0.003019574740516299,,,,0.5107341732006405,ovr,elasticnet,21,,True,76
77,77,TrialState.COMPLETE,0.8319788988215651,2020-01-02 00:24:01.231326,2020-01-02 00:24:01.595188,0.0027555494100752293,,,,0.5449962192289344,ovr,elasticnet,20,,False,77
78,78,TrialState.COMPLETE,0.8292200641056361,2020-01-02 00:24:01.596262,2020-01-02 00:24:01.942814,0.002413339828211398,,,,,ovr,l1,20,saga,False,78
79,79,TrialState.COMPLETE,0.8296736669567158,2020-01-02 00:24:01.943970,2020-01-02 00:24:02.329971,0.004662841031737942,,,,0.6216229897251799,ovr,elasticnet,8,,False,79
80,80,TrialState.COMPLETE,0.7263906249162128,2020-01-02 00:24:02.331062,2020-01-02 00:24:02.708609,0.0008002638131611679,,,,0.6718716221736011,ovr,elasticnet,6,,False,80
81,81,TrialState.COMPLETE,0.7263906249162128,2020-01-02 00:24:02.709798,2020-01-02 00:24:03.025671,0.00030411370880893836,,,,0.5907251381303138,ovr,elasticnet,13,,False,81
82,82,TrialState.COMPLETE,0.8268580367545049,2020-01-02 00:24:03.027017,2020-01-02 00:24:03.427243,0.0045302566137916415,,,,0.7521413630174039,ovr,elasticnet,23,,False,82
83,83,TrialState.COMPLETE,0.7263906249162128,2020-01-02 00:24:03.428350,2020-01-02 00:24:03.741216,0.00016173843287225183,,,,0.5114042898716578,ovr,elasticnet,18,,False,83
84,84,TrialState.COMPLETE,0.7263906249162128,2020-01-02 00:24:03.742323,2020-01-02 00:24:04.132161,8.071244153404783e-05,,,,0.5938406331502641,ovr,elasticnet,4,,False,84
85,85,TrialState.COMPLETE,0.7263906249162128,2020-01-02 00:24:04.135362,2020-01-02 00:24:04.601623,0.0004891769237313238,,,,0.6378876472476933,ovr,elasticnet,10,,False,85
86,86,TrialState.COMPLETE,0.8151012546292298,2020-01-02 00:24:04.602818,2020-01-02 00:24:04.949693,,,,,,ovr,none,14,,False,86
87,87,TrialState.COMPLETE,0.7263906249162128,2020-01-02 00:24:04.951476,2020-01-02 00:24:05.342804,0.0009175719083695272,,,,0.7372226467966699,ovr,elasticnet,9,,False,87
88,88,TrialState.COMPLETE,0.8287535895610271,2020-01-02 00:24:05.344006,2020-01-02 00:24:05.720522,0.005864871888101329,,,,0.5384557562480717,ovr,elasticnet,70,,False,88
89,89,TrialState.COMPLETE,0.8339163177314391,2020-01-02 00:24:05.721518,2020-01-02 00:24:06.091120,0.002584987616808972,,,,0.0529110259506478,ovr,elasticnet,23,,False,89
90,90,TrialState.COMPLETE,0.8343666327068288,2020-01-02 00:24:06.092547,2020-01-02 00:24:06.447171,0.0021468941568675427,,,,0.045718931127728485,ovr,elasticnet,22,,False,90
91,91,TrialState.COMPLETE,0.8330348264261158,2020-01-02 00:24:06.448291,2020-01-02 00:24:06.808399,0.0018496375202062187,,,,0.030504727753205597,ovr,elasticnet,21,,False,91
92,92,TrialState.COMPLETE,0.8348690910921686,2020-01-02 00:24:06.809484,2020-01-02 00:24:07.192131,0.002267985906506581,,,,0.04919549013419875,ovr,elasticnet,25,,False,92
93,93,TrialState.COMPLETE,0.8340928902595101,2020-01-02 00:24:07.193256,2020-01-02 00:24:07.577479,0.002785958590216846,,,,0.04388684555109095,ovr,elasticnet,28,,False,93
94,94,TrialState.COMPLETE,0.8341640108361347,2020-01-02 00:24:07.578362,2020-01-02 00:24:08.022459,0.0024575606607978293,,,,0.06657335360930083,ovr,elasticnet,23,,False,94
95,95,TrialState.COMPLETE,0.8255717622397963,2020-01-02 00:24:08.024098,2020-01-02 00:24:08.433859,0.0010010106689855747,,,,0.062008471284523595,ovr,elasticnet,29,,False,95
96,96,TrialState.COMPLETE,0.7288620148099629,2020-01-02 00:24:08.435118,2020-01-02 00:24:08.919705,0.0005105265572860404,,,,0.1225198987185513,ovr,elasticnet,25,,False,96
97,97,TrialState.COMPLETE,0.8345414564981123,2020-01-02 00:24:08.920636,2020-01-02 00:24:09.335868,0.002143331710056438,,,,0.052406508367468435,ovr,elasticnet,22,,False,97
98,98,TrialState.COMPLETE,0.8347343100076241,2020-01-02 00:24:09.337062,2020-01-02 00:24:09.720727,0.0020705583556219235,,,,0.05648323986090159,ovr,elasticnet,24,,False,98
99,99,TrialState.COMPLETE,0.8348726700636272,2020-01-02 00:24:09.722070,2020-01-02 00:24:10.101966,0.0022149471434149024,,,,0.05374396158679226,ovr,elasticnet,25,,False,99
