,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs
,,,,,,bagging_fraction,bagging_freq,feature_fraction,lambda_l1,lambda_l2,min_child_samples,num_leaves,random_state,_number
0,0,TrialState.COMPLETE,0.8487561063537064,2020-01-03 21:16:23.624125,2020-01-03 21:17:33.393091,0.929351303768996,6,0.5251798863691877,1.0295649499210285e-05,2.8712270896565357,40,129,70,0
1,1,TrialState.COMPLETE,0.8490501890538094,2020-01-03 21:17:33.393783,2020-01-03 21:18:42.758794,0.9201121937126026,6,0.7200985126958621,0.0017551119981988447,3.4513289205615387,46,160,95,1
2,2,TrialState.COMPLETE,0.8459903644865377,2020-01-03 21:18:42.759418,2020-01-03 21:19:36.305204,0.8657477089521517,1,0.8496347452033597,8.584118551627006e-07,8.623995819165871e-05,40,12,28,2
3,3,TrialState.COMPLETE,0.843348328712479,2020-01-03 21:19:36.305848,2020-01-03 21:21:43.490719,0.5974079856334432,5,0.9461854918787007,0.0015337589357534004,0.009712645030080005,12,166,61,3
4,4,TrialState.COMPLETE,0.8438461090524738,2020-01-03 21:21:43.491363,2020-01-03 21:23:04.626351,0.776999311467756,7,0.48260098894706255,3.1936474528916654e-07,0.006433799245707395,28,187,40,4
5,5,TrialState.COMPLETE,0.843808123597013,2020-01-03 21:23:04.626992,2020-01-03 21:24:09.900931,0.7000787393726962,7,0.49616054916422453,1.3280601455894411e-06,1.6518250708967206e-06,12,52,28,5
6,6,TrialState.COMPLETE,0.8370993032718974,2020-01-03 21:24:09.901582,2020-01-03 21:25:01.975718,0.7711371900810935,5,0.9574788246406729,0.49348654848344375,7.67035197390345e-07,51,3,39,6
7,7,TrialState.COMPLETE,0.8449262247224697,2020-01-03 21:25:01.976341,2020-01-03 21:26:10.909020,0.9000105680935542,4,0.5923707319270571,3.370015166873465e-08,0.008784316761308543,53,80,53,7
8,8,TrialState.COMPLETE,0.8465714955239132,2020-01-03 21:26:10.909652,2020-01-03 21:27:42.666891,0.57152565209693,1,0.4721318088958887,2.6254124828823835e-05,3.905320891694287e-07,16,153,76,8
9,9,TrialState.COMPLETE,0.8447888555062084,2020-01-03 21:27:42.667527,2020-01-03 21:28:38.350249,0.7988038883142039,2,0.5030834707986086,0.000547411184157443,4.507118519143623e-07,69,22,53,9
10,10,TrialState.COMPLETE,0.843946674723014,2020-01-03 21:28:38.350874,2020-01-03 21:29:32.914985,0.4225541161482089,3,0.7040641922219915,0.12804953437041572,7.509382855066764,94,222,100,10
11,11,TrialState.COMPLETE,0.8466099316600655,2020-01-03 21:29:32.915612,2020-01-03 21:30:33.413115,0.9737828440933196,6,0.715688005662577,0.014222705410519104,9.265067034760454,76,106,96,11
12,12,TrialState.COMPLETE,0.8484837538382923,2020-01-03 21:30:33.413748,2020-01-03 21:31:49.730795,0.979596869455033,6,0.6229543321761747,3.9685456988645415e-05,0.5740407017596285,35,134,81,12
13,13,TrialState.COMPLETE,0.8468339002533467,2020-01-03 21:31:49.731430,2020-01-03 21:33:07.077203,0.9934674142758728,6,0.8086405471968763,3.5516347912436426e-05,0.34087731516832687,56,215,2,13
14,14,TrialState.COMPLETE,0.8447584278070043,2020-01-03 21:33:07.077860,2020-01-03 21:34:17.417504,0.8915754999950841,5,0.6074985055310165,4.515623423598167,0.25908131774811244,29,112,84,14
15,15,TrialState.COMPLETE,0.847698723804448,2020-01-03 21:34:17.418140,2020-01-03 21:35:28.143123,0.9268839141118117,7,0.4078954213627126,0.014874204199780345,4.974300201530274,67,189,70,15
16,16,TrialState.COMPLETE,0.8470651148390645,2020-01-03 21:35:28.143752,2020-01-03 21:36:49.774544,0.8570273035906986,4,0.8082056042825664,1.1019227189613302e-08,1.609101328305807e-08,46,247,93,16
17,17,TrialState.COMPLETE,0.8417653132964201,2020-01-03 21:36:49.775212,2020-01-03 21:38:05.466559,0.6451985587693434,6,0.6539697661209114,4.858444774842206e-06,0.00042085845320121655,21,79,67,17
18,18,TrialState.COMPLETE,0.8440389410253193,2020-01-03 21:38:05.467188,2020-01-03 21:39:33.924227,0.4673541269049169,5,0.5558923544848534,0.0039751616854738075,0.06846050901128549,84,146,87,18
19,19,TrialState.COMPLETE,0.8443909847851391,2020-01-03 21:39:33.924876,2020-01-03 21:40:36.314267,0.7226170928328604,3,0.40340277315116924,0.0001672411474565551,1.3546623995288438,59,112,100,19
20,20,TrialState.COMPLETE,0.8471859539873284,2020-01-03 21:40:36.314895,2020-01-03 21:41:52.253316,0.8294794046273282,7,0.7447195659886433,0.08468764029967023,0.00033908023320873397,44,166,73,20
21,21,TrialState.COMPLETE,0.8460029010537109,2020-01-03 21:41:52.253960,2020-01-03 21:43:06.764915,0.9703485714278786,6,0.6476803029827942,8.228041506889403e-05,1.3691661600685254,34,132,82,21
22,22,TrialState.COMPLETE,0.8465785090038386,2020-01-03 21:43:06.765552,2020-01-03 21:44:27.969395,0.9999848500348271,6,0.5522646663122107,9.471104683832903e-06,0.12053154129439832,37,133,89,22
23,23,TrialState.COMPLETE,0.8446824374487697,2020-01-03 21:44:27.970044,2020-01-03 21:45:49.261478,0.9280309669008596,5,0.647992406356063,0.0003921227091624871,1.4245888766264334,28,187,79,23
24,24,TrialState.COMPLETE,0.8459429010423353,2020-01-03 21:45:49.262114,2020-01-03 21:47:18.956449,0.9453443323888513,6,0.762511143819607,1.675715519744013e-07,0.026218944505099855,22,90,64,24
25,25,TrialState.COMPLETE,0.8450640227588808,2020-01-03 21:47:18.957073,2020-01-03 21:48:23.570974,0.8333245991297,7,0.5531596715135193,6.19341089054785e-06,8.449143390192944,47,162,59,25
26,26,TrialState.COMPLETE,0.8466341087551419,2020-01-03 21:48:23.571647,2020-01-03 21:51:14.063651,0.9947269452055301,4,0.6772356529615164,0.001780764263202222,1.065914590554379,36,128,77,26
27,27,TrialState.COMPLETE,0.8471528646439941,2020-01-03 21:51:14.064281,2020-01-03 21:52:23.565673,0.9065579707020478,6,0.5935354590679569,6.943286165418531e-05,0.001291921126794004,62,99,93,27
28,28,TrialState.COMPLETE,0.8482559196692503,2020-01-03 21:52:23.566349,2020-01-03 21:54:52.743739,0.9620071816180801,5,0.45716895635547233,2.4415271477264817e-06,0.3719164496702517,43,55,85,28
29,29,TrialState.COMPLETE,0.8476020044666555,2020-01-03 21:54:52.744436,2020-01-03 21:56:17.206495,0.8529892625595983,7,0.7799582902819236,5.125259539903406e-07,1.5860346288818293e-05,41,206,46,29
30,30,TrialState.COMPLETE,0.8486297238194693,2020-01-03 21:56:17.207128,2020-01-03 21:57:28.277812,0.8831128369026269,6,0.9021211785952615,1.2894604457311936e-05,3.137064695921568,51,138,1,30
31,31,TrialState.COMPLETE,0.8516697076900535,2020-01-03 21:57:28.278440,2020-01-03 21:58:39.654367,0.8705716695102697,6,0.8855173353697733,1.568182427327567e-05,3.910724727164685,50,144,7,31
32,32,TrialState.COMPLETE,0.8482819841218255,2020-01-03 21:58:39.655066,2020-01-03 21:59:51.915999,0.877069358077234,5,0.9054097289433365,1.5200603114180558e-05,3.3916944681736854,51,172,22,32
33,33,TrialState.COMPLETE,0.8455318323728432,2020-01-03 21:59:51.916649,2020-01-03 22:01:03.747348,0.8040875323274654,6,0.8600387963270352,6.705923598348098e-08,0.05268215875224491,62,147,5,33
34,34,TrialState.COMPLETE,0.8476761998269609,2020-01-03 22:01:03.747984,2020-01-03 22:02:16.845766,0.9217039558102118,7,0.8981143217042734,2.205734106171439e-06,3.1096861698139424,48,119,11,34
35,35,TrialState.COMPLETE,0.8472921134891971,2020-01-03 22:02:16.846431,2020-01-03 22:03:25.824114,0.7438433363513258,7,0.9235853804758438,0.0008222266381551309,0.18315029109734973,73,176,14,35
36,36,TrialState.COMPLETE,0.84597762305383,2020-01-03 22:03:25.824753,2020-01-03 22:04:46.321745,0.8708309632395277,5,0.9877265714074179,0.00022182563679863703,0.018027441915253593,54,148,31,36
37,37,TrialState.COMPLETE,0.8442902107979611,2020-01-03 22:04:46.322377,2020-01-03 22:06:22.314942,0.8220537144519942,6,0.8497361018595059,1.275328582344098e-06,0.002957997179062149,30,195,19,37
38,38,TrialState.COMPLETE,0.8465792351162464,2020-01-03 22:06:22.315591,2020-01-03 22:07:28.444909,0.7696829817461893,4,0.9867983391133572,0.00011979131439310357,8.217044660393379,57,153,44,38
39,39,TrialState.COMPLETE,0.8447782798894137,2020-01-03 22:07:28.445574,2020-01-03 22:08:39.625139,0.6657991357749831,7,0.9578951710774202,2.1000311984477043e-07,2.6694144262147623,40,74,7,39
40,40,TrialState.COMPLETE,0.845205579450808,2020-01-03 22:08:39.625837,2020-01-03 22:10:01.865882,0.9490166782336331,5,0.8185165640618917,1.664586923764893e-05,3.920796634898712e-05,50,238,36,40
41,41,TrialState.COMPLETE,0.8483929660256184,2020-01-03 22:10:01.866527,2020-01-03 22:11:19.037384,0.8952060811807278,6,0.5126005005549374,4.0400507681047774e-05,0.5411850369704094,35,134,60,41
42,42,TrialState.COMPLETE,0.8459831254523985,2020-01-03 22:11:19.038030,2020-01-03 22:12:33.909058,0.9761870365266864,6,0.6226201072593632,0.003041959341776196,0.5776608570423576,39,120,96,42
43,43,TrialState.COMPLETE,0.8509060281066034,2020-01-03 22:12:33.909707,2020-01-03 22:13:42.724958,0.9404232332984103,6,0.720101959625549,5.912663436940619e-06,9.33094826699414,32,160,1,43
44,44,TrialState.COMPLETE,0.8476408782126341,2020-01-03 22:13:42.725601,2020-01-03 22:14:59.498246,0.9392494894149103,5,0.731709319283645,4.013461495651772e-06,8.660198781652186,18,178,1,44
45,45,TrialState.COMPLETE,0.8464126648616703,2020-01-03 22:14:59.498885,2020-01-03 22:16:14.372038,0.9069625785494575,6,0.8713705038244209,5.744865390079051e-07,2.8200359361611556,32,159,11,45
46,46,TrialState.COMPLETE,0.8478963111014128,2020-01-03 22:16:14.372667,2020-01-03 22:17:17.310653,0.861817476223092,7,0.6878714792480307,1.0762425484112185e-05,8.141253438868727,44,142,2,46
47,47,TrialState.COMPLETE,0.8446655828120315,2020-01-03 22:17:17.311301,2020-01-03 22:18:29.086588,0.7823645593780483,5,0.7815924700971311,0.011473712390551352,6.868017840688398e-08,52,159,55,47
48,48,TrialState.COMPLETE,0.8461304866252236,2020-01-03 22:18:29.087227,2020-01-03 22:20:08.460817,0.8947004776960644,6,0.8228046729356118,0.0008524254167902177,0.09150825854688757,26,201,19,48
49,49,TrialState.COMPLETE,0.8500013566492448,2020-01-03 22:20:08.461472,2020-01-03 22:21:19.421644,0.8411227378377993,6,0.9422712993574558,2.898841467660809e-05,0.7949281699427972,65,104,6,49
50,50,TrialState.COMPLETE,0.8444702151371267,2020-01-03 22:21:19.422289,2020-01-03 22:22:57.575420,0.845977702467294,7,0.9559338539892194,3.994546951881747e-05,0.8641518515795156,8,99,7,50
51,51,TrialState.COMPLETE,0.8475924367100935,2020-01-03 22:22:57.576062,2020-01-03 22:24:02.941469,0.8778780138236814,6,0.8873251292451221,2.092143865482313e-05,2.7973526359275804,66,118,1,51
52,52,TrialState.COMPLETE,0.8490845726364714,2020-01-03 22:24:02.942111,2020-01-03 22:25:08.678725,0.9185978455219255,6,0.9278827517844528,1.4010683683435924e-06,9.625081046090006,62,140,14,52
53,53,TrialState.COMPLETE,0.8475375913632999,2020-01-03 22:25:08.679359,2020-01-03 22:26:17.007570,0.9136752075991459,6,0.9227935856473077,1.3377038153471877e-06,0.2316385702414432,81,102,25,53
54,54,TrialState.COMPLETE,0.8453295396127087,2020-01-03 22:26:17.008224,2020-01-03 22:27:22.067731,0.9517199966534495,6,0.7166976588465999,3.585686062943552e-06,8.578076162878167,60,123,13,54
55,55,TrialState.COMPLETE,0.8486515855678309,2020-01-03 22:27:22.068368,2020-01-03 22:28:32.672839,0.9229992451705442,3,0.9763949527510738,7.813767228253654e-08,1.3861070744974966,70,89,17,55
56,56,TrialState.COMPLETE,0.8490985182448044,2020-01-03 22:28:32.673526,2020-01-03 22:29:38.146046,0.8079881291887188,5,0.9262612204287375,0.00030400199969196385,5.48135708463549,64,170,7,56
57,57,TrialState.COMPLETE,0.8489314636134289,2020-01-03 22:29:38.146697,2020-01-03 22:30:41.354710,0.8065717824183996,5,0.8344338761301134,0.00028968434494880066,9.938486277195487,65,169,6,57
