,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,params,params,system_attrs
,,,,,,C,class_weight,dual,intercept_scaling,l1_ratio,multi_class,penalty,random_state,solver,warm_start,_number
35,35,TrialState.COMPLETE,0.8516162328619948,2020-01-04 20:29:18.952417,2020-01-04 20:29:19.201156,,,,,,auto,none,15,,False,35
36,36,TrialState.COMPLETE,0.8590010148939176,2020-01-04 20:29:19.201917,2020-01-04 20:29:19.435642,0.0009084636768085877,balanced,,,,ovr,l2,28,saga,False,36
37,37,TrialState.COMPLETE,0.8627586471805149,2020-01-04 20:29:19.436307,2020-01-04 20:29:19.659518,0.0023243139677585965,,,,,auto,l2,1,saga,False,37
38,38,TrialState.COMPLETE,0.7263906249162128,2020-01-04 20:29:19.660173,2020-01-04 20:29:19.840593,7.214372116570998e-05,,,,0.9705986511720245,auto,elasticnet,1,,False,38
39,39,TrialState.COMPLETE,0.8496602085827416,2020-01-04 20:29:19.841295,2020-01-04 20:29:20.108309,,balanced,,,,auto,none,8,,False,39
40,40,TrialState.COMPLETE,0.8145707023771658,2020-01-04 20:29:20.109014,2020-01-04 20:29:20.325098,0.002716431854573028,,False,0.4424465607949757,,ovr,l2,12,liblinear,True,40
41,41,TrialState.COMPLETE,0.7263906249162128,2020-01-04 20:29:20.325862,2020-01-04 20:29:20.563990,0.00016252302721801303,,,,,auto,l2,18,saga,False,41
42,42,TrialState.COMPLETE,0.8596892196319658,2020-01-04 20:29:20.564718,2020-01-04 20:29:20.799107,0.015681281685115622,,,,,auto,l2,1,saga,False,42
43,43,TrialState.COMPLETE,0.8577722029571799,2020-01-04 20:29:20.799806,2020-01-04 20:29:21.026598,0.145893279640401,,,,,auto,l2,17,saga,False,43
44,44,TrialState.COMPLETE,0.8630891753362704,2020-01-04 20:29:21.027305,2020-01-04 20:29:21.262704,0.0021835385619564814,,,,,auto,l2,31,saga,False,44
45,45,TrialState.COMPLETE,0.29057472533462286,2020-01-04 20:29:21.263417,2020-01-04 20:29:21.455453,2.6775691981448704e-05,,,,,auto,l1,39,saga,False,45
46,46,TrialState.COMPLETE,0.858888647542748,2020-01-04 20:29:21.456131,2020-01-04 20:29:21.683552,0.028834505773084815,,,,,auto,l2,31,saga,True,46
47,47,TrialState.COMPLETE,0.8140428617527137,2020-01-04 20:29:21.684241,2020-01-04 20:29:21.946929,0.002576614685362826,,True,0.4433303638182272,,auto,l2,26,liblinear,False,47
48,48,TrialState.COMPLETE,0.8624585903232698,2020-01-04 20:29:21.947634,2020-01-04 20:29:22.186641,0.0026141090436033734,,,,,auto,l2,34,saga,False,48
49,49,TrialState.COMPLETE,0.8496602085827416,2020-01-04 20:29:22.187343,2020-01-04 20:29:22.464220,,balanced,,,,auto,none,40,,False,49
50,50,TrialState.COMPLETE,0.7274313427547978,2020-01-04 20:29:22.464926,2020-01-04 20:29:22.708827,0.00020062322428358124,,,,,ovr,l2,6,saga,True,50
51,51,TrialState.COMPLETE,0.8634361059400314,2020-01-04 20:29:22.709549,2020-01-04 20:29:22.952003,0.0019075841881013586,,,,,auto,l2,34,saga,False,51
52,52,TrialState.COMPLETE,0.8017092800136177,2020-01-04 20:29:22.952691,2020-01-04 20:29:23.183463,0.019716774151378874,,False,0.12414160901994531,,auto,l2,31,liblinear,False,52
53,53,TrialState.COMPLETE,0.824220415250314,2020-01-04 20:29:23.184144,2020-01-04 20:29:23.428028,0.0003000907870084583,,,,,auto,l2,23,saga,False,53
54,54,TrialState.COMPLETE,0.8572434588644666,2020-01-04 20:29:23.428790,2020-01-04 20:29:23.664783,0.23111468876632765,,,,,auto,l2,39,saga,False,54
55,55,TrialState.COMPLETE,0.8611909872878186,2020-01-04 20:29:23.665511,2020-01-04 20:29:23.907610,0.004820440385588139,,,,,auto,l2,12,saga,False,55
56,56,TrialState.COMPLETE,0.8548640137701005,2020-01-04 20:29:23.908309,2020-01-04 20:29:24.158813,2.125386626455827,,,,,auto,l2,21,saga,False,56
57,57,TrialState.COMPLETE,0.7263906249162128,2020-01-04 20:29:24.159512,2020-01-04 20:29:24.406360,0.00010252561236923441,,,,,auto,l2,32,saga,False,57
58,58,TrialState.COMPLETE,0.8537187338880312,2020-01-04 20:29:24.407036,2020-01-04 20:29:24.658205,0.00178407006916055,,,,,auto,l1,42,saga,False,58
59,59,TrialState.COMPLETE,0.8615212000927375,2020-01-04 20:29:24.658874,2020-01-04 20:29:24.901922,0.0042907459084031456,,,,,auto,l2,27,saga,False,59
60,60,TrialState.COMPLETE,0.7263906249162128,2020-01-04 20:29:24.902627,2020-01-04 20:29:25.119357,0.0004858791463163779,,,,0.7535658035855703,auto,elasticnet,47,,False,60
61,61,TrialState.COMPLETE,0.8598449373669681,2020-01-04 20:29:25.120045,2020-01-04 20:29:25.363647,0.009587839730103723,,,,,auto,l2,31,saga,False,61
62,62,TrialState.COMPLETE,0.8637902825810835,2020-01-04 20:29:25.364309,2020-01-04 20:29:25.601425,0.0017866172292125638,,,,,auto,l2,33,saga,False,62
63,63,TrialState.COMPLETE,0.71444570416615,2020-01-04 20:29:25.602177,2020-01-04 20:29:25.831269,0.0005050521864445177,,False,0.5564122799959682,,auto,l2,34,liblinear,False,63
64,64,TrialState.COMPLETE,0.8600914654251811,2020-01-04 20:29:25.831939,2020-01-04 20:29:26.085160,0.00896342260082576,,,,,auto,l2,37,saga,False,64
