iter	Passed	Remaining
254	1196	3496
255	1201	3490
256	1205	3486
257	1209	3479
258	1215	3478
259	1219	3471
260	1224	3465
261	1227	3458
262	1232	3452
263	1236	3446
264	1240	3439
265	1246	3439
266	1251	3435
267	1259	3440
268	1267	3444
269	1280	3461
270	1288	3466
271	1379	3693
272	1395	3715
273	1405	3725
274	1421	3748
275	1433	3760
276	1439	3756
277	1448	3763
278	1456	3763
279	1501	3861
280	1513	3872
281	1521	3873
282	1532	3882
283	1538	3879
284	1545	3877
285	1552	3875
286	1561	3878
287	1569	3878
288	1580	3888
289	1587	3885
290	1597	3892
291	1607	3897
292	1615	3899
293	1624	3899
294	1628	3890
295	1631	3880
296	1636	3872
297	1639	3862
298	1643	3853
299	1647	3844
300	1651	3836
301	1655	3827
302	1659	3818
303	1663	3809
304	1668	3801
305	1672	3792
306	1677	3785
307	1680	3776
308	1684	3768
309	1688	3759
310	1694	3753
311	1698	3744
312	1703	3738
313	1707	3730
314	1711	3721
315	1715	3713
316	1719	3704
317	1723	3696
318	1727	3688
319	1731	3680
320	1736	3672
321	1739	3663
322	1743	3655
323	1747	3646
324	1751	3637
325	1755	3629
326	1759	3621
327	1763	3612
328	1767	3604
329	1770	3595
330	1774	3587
331	1778	3578
332	1782	3570
333	1786	3563
334	1792	3557
335	1796	3550
336	1800	3542
337	1804	3534
338	1808	3526
339	1812	3519
340	1817	3512
341	1824	3509
342	1828	3503
343	1834	3497
344	1838	3490
345	1842	3482
346	1846	3475
347	1850	3467
348	1854	3459
349	1858	3451
350	1862	3443
351	1866	3435
352	1871	3430
353	1876	3423
354	1880	3415
355	1886	3412
356	1891	3406
357	1899	3406
358	1907	3405
359	1918	3410
360	1928	3413
361	1936	3412
362	1942	3407
363	1953	3412
364	1961	3412
365	1970	3412
366	1985	3425
367	1999	3434
368	2011	3439
369	2018	3437
370	2028	3439
371	2034	3435
372	2040	3430
373	2045	3423
374	2049	3415
375	2053	3408
376	2058	3400
377	2062	3393
378	2067	3387
379	2071	3379
380	2075	3371
381	2079	3364
382	2084	3358
383	2091	3354
384	2096	3349
385	2100	3341
386	2105	3334
387	2109	3327
388	2113	3319
389	2118	3313
390	2124	3309
391	2131	3305
392	2137	3301
393	2143	3297
394	2148	3290
395	2152	3282
396	2156	3275
397	2160	3267
398	2164	3259
399	2167	3251
400	2171	3244
401	2176	3237
402	2180	3230
403	2185	3224
404	2190	3218
405	2194	3210
406	2198	3203
407	2202	3196
408	2207	3189
409	2211	3182
410	2216	3175
411	2220	3169
412	2224	3161
413	2228	3154
414	2234	3149
415	2238	3143
416	2242	3135
417	2248	3130
418	2252	3123
419	2256	3116
420	2261	3109
421	2265	3102
422	2271	3098
423	2275	3091
424	2280	3085
425	2286	3080
426	2290	3073
427	2295	3067
428	2299	3060
429	2303	3053
430	2308	3047
431	2312	3041
432	2318	3035
433	2322	3029
434	2327	3022
435	2332	3017
436	2336	3010
437	2340	3003
438	2349	3002
439	2353	2995
440	2358	2989
441	2364	2985
442	2371	2981
443	2376	2976
444	2380	2969
445	2385	2962
446	2389	2955
447	2395	2951
448	2399	2944
449	2403	2937
450	2407	2931
451	2411	2923
452	2416	2917
453	2420	2910
454	2426	2905
455	2432	2902
456	2439	2898
457	2446	2895
458	2450	2888
459	2454	2881
460	2459	2876
461	2466	2872
462	2471	2866
463	2478	2862
464	2482	2856
465	2487	2850
466	2491	2843
467	2501	2843
468	2505	2836
469	2510	2830
470	2516	2826
471	2525	2825
472	2530	2819
473	2534	2812
474	2545	2813
475	2551	2808
476	2561	2808
477	2565	2801
478	2572	2797
479	2578	2793
480	2582	2786
481	2592	2785
482	2596	2778
483	2602	2774
484	2610	2772
485	2614	2765
486	2620	2760
487	2627	2756
488	2631	2749
489	2640	2747
490	2644	2741
491	2649	2735
492	2657	2733
493	2661	2726
494	2668	2722
495	2675	2718
496	2678	2711
497	2684	2706
498	2691	2702
499	2695	2695
500	2705	2694
501	2709	2688
502	2714	2682
503	2722	2679
504	2726	2672
505	2733	2668
506	2739	2664
507	2743	2657
508	2751	2653
509	2757	2649
510	2761	2643
511	2767	2637
512	2771	2630
513	2774	2623
514	2779	2617
515	2783	2610
516	2787	2603
517	2791	2597
518	2795	2590
519	2799	2584
520	2803	2577
521	2809	2572
522	2813	2565
523	2817	2559
524	2821	2552
525	2825	2546
526	2829	2539
527	2833	2532
528	2837	2526
529	2841	2519
530	2845	2513
531	2849	2506
532	2854	2500
533	2858	2494
534	2863	2488
535	2868	2482
536	2872	2476
537	2876	2470
538	2880	2463
539	2884	2457
540	2888	2450
541	2892	2444
542	2896	2438
543	2900	2431
544	2904	2425
545	2908	2418
546	2912	2412
547	2916	2405
548	2920	2399
549	2924	2392
550	2928	2386
551	2932	2380
552	2936	2373
553	2941	2367
554	2948	2364
555	2952	2357
556	2957	2352
557	2961	2345
558	2967	2340
559	2971	2334
560	2976	2329
561	2980	2322
562	2984	2316
563	2988	2310
564	2992	2303
565	2996	2297
566	2999	2290
567	3004	2284
568	3008	2278
569	3012	2272
570	3016	2265
571	3022	2261
572	3028	2257
573	3033	2250
574	3036	2244
575	3041	2238
576	3046	2233
577	3050	2227
578	3056	2222
579	3059	2215
580	3063	2209
581	3067	2203
582	3071	2197
583	3075	2190
584	3079	2184
585	3083	2178
586	3087	2172
587	3091	2166
588	3095	2159
589	3099	2153
590	3103	2147
591	3107	2141
592	3111	2135
593	3115	2129
594	3121	2124
595	3126	2119
596	3132	2114
597	3138	2110
598	3145	2105
599	3150	2100
600	3155	2094
601	3166	2093
602	3179	2093
603	3214	2107
604	3220	2102
605	3227	2098
606	3240	2097
607	3254	2098
608	3297	2117
609	3304	2112
610	3311	2108
611	3315	2101
612	3320	2096
613	3324	2089
614	3328	2083
615	3333	2077
616	3337	2071
617	3341	2065
618	3345	2059
619	3349	2052
620	3353	2046
621	3357	2040
622	3361	2034
623	3366	2028
624	3370	2022
625	3373	2015
626	3377	2009
627	3381	2003
628	3385	1996
629	3389	1990
630	3393	1984
631	3396	1977
632	3400	1971
633	3404	1965
634	3408	1959
635	3412	1952
636	3416	1946
637	3420	1940
638	3424	1934
639	3429	1928
640	3433	1922
641	3437	1916
642	3441	1910
643	3445	1904
644	3448	1898
645	3452	1892
646	3462	1888
647	3470	1885
648	3474	1879
649	3479	1873
650	3483	1867
651	3486	1861
652	3490	1854
653	3493	1848
654	3497	1842
655	3501	1836
656	3505	1830
657	3509	1823
658	3512	1817
659	3516	1811
660	3520	1805
661	3524	1799
662	3528	1793
663	3532	1787
664	3537	1781
665	3541	1776
666	3545	1770
667	3549	1764
668	3553	1758
669	3557	1752
670	3561	1746
671	3565	1740
672	3568	1734
673	3572	1728
674	3576	1722
675	3581	1716
676	3585	1710
677	3589	1704
678	3593	1698
679	3598	1693
680	3602	1687
681	3606	1681
682	3610	1675
683	3614	1669
684	3618	1663
685	3623	1658
686	3627	1652
687	3632	1647
688	3636	1641
689	3641	1635
690	3645	1630
691	3649	1624
692	3653	1618
693	3658	1613
694	3663	1607
695	3668	1602
696	3672	1596
697	3678	1591
698	3683	1586
699	3687	1580
700	3691	1574
701	3697	1569
702	3704	1565
703	3709	1559
704	3717	1555
705	3722	1550
706	3726	1544
707	3732	1539
708	3737	1533
709	3741	1528
710	3747	1523
711	3751	1517
712	3755	1511
713	3760	1506
714	3764	1500
715	3768	1494
716	3773	1489
717	3777	1483
718	3781	1477
719	3785	1472
720	3789	1466
721	3793	1460
722	3797	1454
723	3801	1449
724	3805	1443
725	3809	1437
726	3813	1432
727	3818	1426
728	3823	1421
729	3827	1415
730	3831	1410
731	3835	1404
732	3839	1398
733	3844	1393
734	3848	1387
735	3852	1381
736	3856	1376
737	3861	1370
738	3865	1365
739	3869	1359
740	3873	1353
741	3877	1348
742	3881	1342
743	3885	1336
744	3889	1331
745	3894	1326
746	3899	1320
747	3903	1315
748	3909	1310
749	3915	1305
750	3919	1299
751	3926	1295
752	3930	1289
753	3935	1283
754	3941	1279
755	3947	1273
756	3951	1268
757	3958	1263
758	3962	1258
759	3966	1252
760	3972	1247
761	3976	1242
762	3980	1236
763	3985	1231
764	3989	1225
765	3994	1220
766	3998	1214
767	4004	1209
768	4009	1204
769	4013	1198
770	4020	1194
771	4024	1188
772	4028	1183
773	4038	1179
774	4044	1174
775	4056	1170
776	4065	1166
777	4070	1161
778	4074	1155
779	4078	1150
780	4082	1144
781	4086	1139
782	4089	1133
783	4093	1127
784	4097	1122
785	4101	1116
786	4105	1111
787	4110	1105
788	4114	1100
789	4120	1095
790	4126	1090
791	4135	1086
792	4141	1081
793	4148	1076
794	4153	1070
795	4157	1065
796	4160	1059
797	4164	1054
798	4169	1048
799	4173	1043
800	4177	1037
801	4181	1032
802	4186	1026
803	4190	1021
804	4194	1015
805	4197	1010
806	4203	1005
807	4210	1000
808	4215	995
809	4220	989
810	4223	984
811	4228	978
812	4232	973
813	4235	967
814	4240	962
815	4244	957
816	4248	951
817	4252	946
818	4256	940
819	4261	935
820	4265	930
821	4269	924
822	4275	919
823	4282	914
824	4289	909
825	4296	905
826	4305	900
827	4312	895
828	4322	891
829	4330	886
830	4334	881
831	4338	876
832	4343	870
833	4347	865
834	4353	860
835	4362	855
836	4367	850
837	4370	844
838	4375	839
839	4379	834
840	4383	828
841	4387	823
842	4391	817
843	4395	812
844	4400	807
845	4404	801
846	4407	796
847	4412	790
848	4415	785
849	4420	780
850	4424	774
851	4428	769
852	4432	763
853	4437	758
854	4442	753
855	4449	748
856	4455	743
857	4462	738
858	4468	733
859	4473	728
860	4481	723
861	4487	718
862	4498	714
863	4502	708
864	4512	704
865	4517	698
866	4522	693
867	4527	688
868	4533	683
869	4538	678
870	4546	673
871	4549	667
872	4558	663
873	4564	657
874	4568	652
875	4576	647
876	4581	642
877	4585	637
878	4592	632
879	4597	626
880	4604	621
881	4611	616
882	4615	611
883	4624	606
884	4629	601
885	4632	596
886	4640	591
887	4645	585
888	4649	580
889	4657	575
890	4662	570
891	4667	565
892	4675	560
893	4679	554
894	4685	549
895	4689	544
896	4694	539
897	4698	533
898	4703	528
899	4707	523
900	4711	517
901	4715	512
902	4719	506
903	4723	501
904	4727	496
905	4731	490
906	4735	485
907	4739	480
908	4743	474
909	4748	469
910	4751	464
911	4756	458
912	4760	453
913	4765	448
914	4769	443
915	4775	437
916	4780	432
917	4785	427
918	4789	422
919	4793	416
920	4798	411
921	4802	406
922	4806	400
923	4811	395
924	4818	390
925	4822	385
926	4826	380
927	4831	374
928	4835	369
929	4839	364
930	4844	359
931	4848	353
932	4851	348
933	4856	343
934	4859	337
935	4864	332
936	4868	327
937	4872	322
938	4875	316
939	4880	311
940	4885	306
941	4889	301
942	4894	295
943	4898	290
944	4903	285
945	4910	280
946	4914	275
947	4919	269
948	4922	264
949	4929	259
950	4933	254
951	4937	248
952	4941	243
953	4945	238
954	4949	233
955	4953	228
956	4957	222
957	4961	217
958	4966	212
959	4970	207
960	4974	201
961	4978	196
962	4983	191
963	4987	186
964	4992	181
965	4996	175
966	5000	170
967	5004	165
968	5008	160
969	5012	155
970	5016	149
971	5020	144
972	5024	139
973	5028	134
974	5033	129
975	5039	123
976	5043	118
977	5047	113
978	5051	108
979	5055	103
980	5059	98
981	5064	92
982	5068	87
983	5072	82
984	5077	77
985	5081	72
986	5086	66
987	5090	61
988	5094	56
989	5098	51
990	5102	46
991	5106	41
992	5110	36
993	5114	30
994	5119	25
995	5125	20
996	5131	15
997	5139	10
998	5145	5
999	5149	0
