iter	F1	Logloss
117	0.7518169167	0.4935526581
118	0.7517401392	0.4934880766
119	0.7517401392	0.4933971796
120	0.7517401392	0.4932968869
121	0.7517401392	0.4932173093
122	0.7517401392	0.4931777176
123	0.7517401392	0.4931644511
124	0.7516238788	0.4930759499
125	0.7516238788	0.4930285325
126	0.7516238788	0.4929636469
127	0.7516238788	0.4929186794
128	0.7516238788	0.4928941413
129	0.7516238788	0.4928256376
130	0.7518169167	0.4927736034
131	0.7520098949	0.4926770625
132	0.7520098949	0.4926013801
133	0.7518169167	0.4925108393
134	0.7516238788	0.4924621345
135	0.7517401392	0.4924151206
136	0.7516633143	0.4923482277
137	0.7516633143	0.4923063323
138	0.7517401392	0.4922612554
139	0.7517401392	0.4922044722
140	0.7517796348	0.4921189136
141	0.7518564356	0.4920628734
142	0.7520494973	0.491993123
143	0.7521658416	0.4919431489
144	0.7521658416	0.4918763596
145	0.7521658416	0.4918281375
146	0.7521658416	0.4917890751
147	0.7519727681	0.4917092205
148	0.7518564356	0.4916516576
149	0.7518564356	0.4916118561
150	0.7520494973	0.4915684181
151	0.7520494973	0.491548158
152	0.7518564356	0.4914949036
153	0.7518564356	0.4914411522
154	0.7518564356	0.4913492348
155	0.7520494973	0.4912796095
156	0.7520494973	0.4912378218
157	0.7523986382	0.4911532077
158	0.7523986382	0.4910809763
159	0.7523986382	0.4910542879
160	0.7523986382	0.4910129461
161	0.7522055409	0.4909694052
162	0.7522055409	0.4909381399
163	0.7522055409	0.4908951989
164	0.7522055409	0.4908512127
165	0.7520123839	0.490816371
166	0.7520123839	0.4907814559
167	0.7520123839	0.4907162029
168	0.7520123839	0.4906454371
169	0.7522055409	0.4905871357
170	0.7522055409	0.4905499001
171	0.7522055409	0.4905019306
172	0.7520123839	0.4904701339
173	0.7520123839	0.4904028356
174	0.7520123839	0.4903591904
175	0.7520123839	0.4903208211
176	0.7520123839	0.4903006211
177	0.7520123839	0.4902603235
178	0.7521288125	0.490219519
179	0.7521288125	0.4902022023
180	0.7523219814	0.4901677354
181	0.7523219814	0.490127015
182	0.7523219814	0.4900741967
183	0.7523219814	0.4900349038
184	0.7523219814	0.4900043431
185	0.7523219814	0.4899639074
186	0.7523219814	0.4899239183
187	0.7523219814	0.4898900028
188	0.7523219814	0.4898243294
189	0.752438458	0.4897661655
190	0.7522452772	0.4897285778
191	0.752438458	0.4896928578
192	0.752438458	0.4896629267
193	0.752438458	0.4896131658
194	0.752438458	0.4896082715
195	0.7539719266	0.4895623188
196	0.7537796976	0.4895073814
197	0.7539719266	0.4894630507
198	0.7539719266	0.4894121635
199	0.7538960037	0.4893734257
200	0.7538960037	0.4893503568
201	0.7537796976	0.4893217732
202	0.7538960037	0.4892801259
203	0.7538960037	0.4892699821
204	0.7538960037	0.4892203116
205	0.7538960037	0.4891456952
206	0.7538960037	0.489122974
207	0.7538960037	0.489072317
208	0.7538960037	0.4890336929
209	0.7538960037	0.488993664
210	0.7538960037	0.488953446
211	0.7538960037	0.4889294407
212	0.7538960037	0.4889060366
213	0.7538960037	0.4888760964
214	0.7538960037	0.4888365844
215	0.7538960037	0.4888139194
216	0.7538960037	0.4887836614
217	0.7538960037	0.488734297
218	0.7540123457	0.4886936591
219	0.7540123457	0.4886444079
220	0.7540123457	0.4886005367
221	0.7540123457	0.4885451023
222	0.7540123457	0.4885179243
223	0.7540123457	0.4884886787
224	0.7540123457	0.4884614821
225	0.7540123457	0.4884407684
226	0.7540123457	0.4883789786
227	0.7540123457	0.4883464352
228	0.7540123457	0.4883112549
229	0.7540123457	0.4882872519
230	0.7540123457	0.4882602968
231	0.7540123457	0.4882036862
232	0.7540123457	0.4881794804
233	0.7540123457	0.4881663261
234	0.7540123457	0.4881272378
235	0.7542045981	0.4880808785
236	0.7542045981	0.4880173389
237	0.7543209877	0.4879925632
238	0.7543209877	0.4879644616
239	0.7543209877	0.4879275876
240	0.7543209877	0.4879069838
241	0.7543209877	0.4878829933
242	0.7543209877	0.4878312266
243	0.7543209877	0.4878026094
244	0.7543209877	0.4877662436
245	0.7541287236	0.487727632
246	0.7541287236	0.4876946894
247	0.7541287236	0.4876461126
248	0.7541287236	0.4876252663
249	0.7541287236	0.4876075947
250	0.7552404439	0.487562526
251	0.75543227	0.4875432712
252	0.7543209877	0.4875124233
253	0.7543209877	0.4874908582
254	0.7538604077	0.4874674553
255	0.7538604077	0.4874296202
256	0.7538604077	0.4874008753
257	0.7538604077	0.4873733913
258	0.7538604077	0.4873311025
259	0.7538604077	0.4872785853
260	0.7538604077	0.4872301158
261	0.7538604077	0.487187742
262	0.7538604077	0.4871331333
263	0.7538604077	0.4871207478
264	0.7538604077	0.4871021824
265	0.7543209877	0.4870734364
266	0.7538604077	0.4870238541
267	0.7549730146	0.4869893492
268	0.7549730146	0.4869702586
269	0.7549730146	0.486933366
270	0.7549730146	0.486907585
271	0.7549730146	0.4868613563
272	0.75543227	0.4868284662
273	0.7545131924	0.4867980955
274	0.7545131924	0.4867513783
275	0.7545131924	0.4867366219
276	0.7545131924	0.4867166482
277	0.7553979025	0.4866615537
278	0.7553979025	0.4866268178
279	0.7553979025	0.4866134595
280	0.7553979025	0.4865869475
281	0.7553979025	0.4865500813
282	0.7553979025	0.4865280191
283	0.7553979025	0.486481014
284	0.7553979025	0.4864426886
285	0.7553979025	0.4863976478
286	0.7553979025	0.4863637215
287	0.7553979025	0.4863190665
288	0.7553979025	0.486297771
289	0.7549382716	0.4862706312
290	0.7549382716	0.4862437811
291	0.7553979025	0.4862082889
292	0.7553979025	0.4861791366
293	0.7553979025	0.4861409857
294	0.7555898227	0.4861120296
295	0.7560486978	0.4860549191
296	0.7560486978	0.4860272331
297	0.7553979025	0.4859927091
298	0.7555898227	0.4859510179
299	0.7553979025	0.4859024255
300	0.7553979025	0.4858715485
301	0.7553979025	0.4858373795
302	0.7553979025	0.4857968139
303	0.7553979025	0.4857538006
304	0.7553979025	0.4857305725
305	0.7553979025	0.4856851737
306	0.7553979025	0.4856539313
307	0.7553979025	0.4856306351
308	0.7553979025	0.4855895173
309	0.7553979025	0.4855499569
310	0.7553979025	0.4854882058
311	0.7553979025	0.4854456162
312	0.7553979025	0.4854192759
313	0.7553979025	0.485389525
314	0.7553979025	0.4853653813
315	0.7556309781	0.485332358
316	0.7556309781	0.4853097638
317	0.7558229215	0.4852690281
318	0.7560148057	0.4852476027
319	0.7560148057	0.4852127767
320	0.7560148057	0.485162209
321	0.7560148057	0.4851316176
322	0.7560148057	0.4851005415
323	0.7561314206	0.4850506492
324	0.7561314206	0.485008881
325	0.7561314206	0.4849666229
326	0.7563232572	0.4849197203
327	0.7563232572	0.4848987566
328	0.7573144441	0.4848564383
329	0.7573144441	0.4848126831
330	0.7573144441	0.484756184
331	0.7573144441	0.4847251052
332	0.7573144441	0.4846948302
333	0.7573144441	0.4846812601
334	0.7573144441	0.4846360426
335	0.7573144441	0.4846142129
336	0.7573144441	0.4845662232
337	0.7573144441	0.4845290672
338	0.7573144441	0.4845012446
339	0.7573144441	0.4844572989
340	0.7573144441	0.4844246797
341	0.7573144441	0.4843828095
342	0.7573144441	0.4843063592
343	0.757771622	0.4842419373
344	0.757771622	0.4842014899
345	0.757771622	0.4841740532
346	0.757771622	0.4841501368
347	0.757771622	0.4841010781
348	0.757771622	0.484071259
349	0.757771622	0.4840156946
350	0.757771622	0.4839859369
351	0.757771622	0.4839440103
352	0.757771622	0.4838910412
353	0.757771622	0.4838432638
354	0.757771622	0.4838002275
355	0.757771622	0.4837759436
356	0.757771622	0.4837406918
357	0.757771622	0.4836834195
358	0.757771622	0.483626034
359	0.757771622	0.4835828431
360	0.757771622	0.4835222957
361	0.757771622	0.4834689556
362	0.757771622	0.4834419581
363	0.757771622	0.4833832756
364	0.757771622	0.4833239257
365	0.757771622	0.4832862535
366	0.757771622	0.4832000567
367	0.757771622	0.4831569062
368	0.757771622	0.4830865588
369	0.757771622	0.4830374575
370	0.7578882561	0.4829921067
371	0.758079409	0.482954469
372	0.758079409	0.4829009054
373	0.758079409	0.4828753994
374	0.758079409	0.4828093811
375	0.758079409	0.4827771146
376	0.758079409	0.4826932793
377	0.758079409	0.4826380772
378	0.758079409	0.482621643
379	0.758079409	0.482576105
380	0.758079409	0.4825102802
381	0.7578882561	0.4824678022
382	0.7578882561	0.4824417296
383	0.7574310796	0.4824094046
384	0.7574310796	0.4823621489
385	0.7574310796	0.4823124106
386	0.7574310796	0.482286903
387	0.7574310796	0.4822118036
388	0.7574310796	0.4821600833
389	0.7578882561	0.4821121659
390	0.7574310796	0.4820419785
391	0.7574310796	0.4819777288
392	0.7574310796	0.4819368732
393	0.7574310796	0.4818828843
394	0.7574310796	0.4818567684
395	0.7578882561	0.4818310745
396	0.7578882561	0.4818053131
397	0.7578882561	0.4817234474
398	0.7578882561	0.4817066822
399	0.7578882561	0.4816887212
400	0.7574310796	0.4816461479
401	0.7578882561	0.4816143294
402	0.7578882561	0.4815470903
403	0.7578882561	0.4814939106
404	0.7578882561	0.4814541892
405	0.758079409	0.4813905616
406	0.758079409	0.4813603623
407	0.758079409	0.4813104293
408	0.758079409	0.4812606552
409	0.758079409	0.4812443142
410	0.758079409	0.4811986431
411	0.758079409	0.48114452
412	0.758079409	0.4811259511
413	0.7581960905	0.4810770341
414	0.7581960905	0.4810522903
415	0.7581960905	0.4810068379
416	0.7583871961	0.4809619958
417	0.7583871961	0.4809148702
418	0.7583871961	0.480831114
419	0.7583871961	0.4807993485
420	0.7583871961	0.4807450227
421	0.7583871961	0.4807177221
422	0.7583871961	0.4806616345
423	0.7583871961	0.4806003119
424	0.7583871961	0.4805592958
425	0.7583871961	0.4805139412
426	0.7583871961	0.4804730311
427	0.7583871961	0.4803985338
428	0.7583871961	0.4803740032
429	0.7583871961	0.4803584585
430	0.7583871961	0.4803194586
431	0.7583871961	0.4802838878
432	0.7583871961	0.4802572506
433	0.7583871961	0.4802330682
434	0.7583871961	0.4801421473
435	0.7583871961	0.480072871
436	0.7585782428	0.4799980419
437	0.7585782428	0.4799768289
438	0.7585782428	0.479942613
439	0.7585782428	0.4798738708
440	0.7585782428	0.4798477304
441	0.7585782428	0.4798177994
442	0.7585782428	0.4797535512
443	0.7585782428	0.4797190751
444	0.7585782428	0.4796918595
445	0.7585782428	0.4796373362
446	0.7585782428	0.4795739665
447	0.7585782428	0.4795452535
448	0.7585782428	0.4795011981
449	0.7585782428	0.4794624937
450	0.7585782428	0.4794180248
451	0.7585782428	0.4793633927
452	0.7585782428	0.479362065
453	0.7585782428	0.4793485325
454	0.7585782428	0.4792849163
455	0.7585782428	0.4792611181
456	0.7585782428	0.4792036969
457	0.7585782428	0.4791809374
458	0.7585782428	0.4791474775
459	0.7585782428	0.4791194684
460	0.7585782428	0.4790842016
461	0.7587692308	0.4790418402
462	0.7587692308	0.4790293071
463	0.7587692308	0.4789908243
464	0.7587692308	0.4789245144
465	0.7587692308	0.4788619879
466	0.7587692308	0.4788266781
467	0.7587692308	0.4787944329
468	0.7587692308	0.4787571841
469	0.7587692308	0.4787105948
470	0.7587692308	0.4786823815
471	0.7585782428	0.4786364486
472	0.7585782428	0.4785896666
473	0.7585782428	0.4785483175
474	0.7585782428	0.4785221233
475	0.7585782428	0.4784573846
476	0.7585782428	0.4784401149
477	0.7585782428	0.4784176765
478	0.758652515	0.4783597138
479	0.7585782428	0.4783205521
480	0.7585782428	0.4782822618
481	0.7585782428	0.4782259346
482	0.7585782428	0.478179208
483	0.7588434328	0.4781327182
484	0.7590342919	0.4781090549
485	0.7590342919	0.4780952563
486	0.7590342919	0.4780417855
487	0.7590342919	0.4780235965
488	0.7590342919	0.4780153788
489	0.7590342919	0.4779901488
490	0.7590342919	0.4779413328
491	0.7587692308	0.4779080701
492	0.7590342919	0.477900873
493	0.7587692308	0.4778292645
494	0.7587692308	0.4777620318
495	0.7585782428	0.4777191609
496	0.7588434328	0.477656929
497	0.7588434328	0.477591431
498	0.7588434328	0.4775648399
499	0.7588434328	0.477524404
500	0.7588434328	0.4774710218
501	0.7590342919	0.4774257373
502	0.7587692308	0.4773786617
503	0.7587692308	0.477351915
504	0.7587692308	0.4773102069
505	0.7587692308	0.4772753337
506	0.7587692308	0.477212071
507	0.7585782428	0.4771778524
508	0.75896016	0.4771470017
509	0.7591510305	0.4770990871
510	0.7591510305	0.4770528
511	0.7591510305	0.4770353329
512	0.7591510305	0.4769967418
513	0.7591510305	0.4769562708
514	0.7591510305	0.4769282336
515	0.7593418422	0.4768925288
516	0.7593418422	0.4768716234
517	0.7593418422	0.4768329603
518	0.7593418422	0.476783672
519	0.7593418422	0.476748791
520	0.7593418422	0.4767138314
521	0.7593418422	0.4766515754
522	0.7593418422	0.4766033668
523	0.7593418422	0.4765697846
524	0.7593418422	0.476525323
525	0.7593418422	0.4764868563
526	0.7593418422	0.4764037014
527	0.7593418422	0.4763581134
528	0.7593418422	0.4763505214
529	0.7593418422	0.4763148269
530	0.7593418422	0.4762926924
531	0.7595325953	0.4762575613
532	0.7595325953	0.4762159473
533	0.7595325953	0.4761906957
534	0.7595325953	0.4761845517
535	0.7595325953	0.4761453205
536	0.7595325953	0.4761095405
537	0.7595325953	0.4760530544
538	0.7595325953	0.4760367797
539	0.7595325953	0.4759981729
540	0.7595325953	0.4759453919
541	0.7595325953	0.4759146701
542	0.7595325953	0.4758993065
543	0.7595325953	0.4758492651
544	0.7595325953	0.4757793768
545	0.7595325953	0.475741589
546	0.7595325953	0.4757061298
547	0.7595325953	0.4756778607
548	0.7595325953	0.4756545293
549	0.7595325953	0.475614795
550	0.7595325953	0.4755943195
551	0.7595325953	0.4755862512
552	0.7595325953	0.4755734281
553	0.7595325953	0.4755389174
554	0.7595325953	0.475518824
555	0.7595325953	0.4754879447
556	0.7597232898	0.4754515177
557	0.7597232898	0.4754207768
558	0.7597232898	0.4753856261
559	0.7597232898	0.4753317095
560	0.7597232898	0.475310996
561	0.7597232898	0.4752927709
562	0.7597232898	0.4752194977
563	0.7599139256	0.4751947837
564	0.7599139256	0.4751347833
565	0.7599139256	0.4751105788
566	0.7599139256	0.4750510075
567	0.7599139256	0.475036226
568	0.7599139256	0.4749879224
569	0.7599139256	0.4749567264
570	0.7599139256	0.4749201775
571	0.7599139256	0.4748722144
572	0.7599139256	0.4748321254
573	0.7599139256	0.4748100488
574	0.7600307456	0.4747624181
575	0.7600307456	0.4747128074
576	0.7600307456	0.4746939021
577	0.7600307456	0.4746699181
578	0.7600307456	0.4746506025
579	0.7600307456	0.4745909378
580	0.7600307456	0.4745668664
581	0.7600307456	0.4745289355
582	0.7600307456	0.4744791214
583	0.7600307456	0.4744164664
584	0.7600307456	0.474386075
585	0.7600307456	0.4743787199
586	0.7600307456	0.4743580922
587	0.7600307456	0.4743109377
588	0.7600307456	0.4742653761
589	0.7599569429	0.4742341208
590	0.7599569429	0.4742186993
591	0.7599569429	0.4741718242
592	0.7599569429	0.4741536603
593	0.7599569429	0.4741166321
594	0.7601476015	0.4740969191
595	0.7603382014	0.4740641035
596	0.7603382014	0.4740253859
597	0.7603382014	0.4739992077
598	0.7603382014	0.4739279954
599	0.7603382014	0.4738877101
600	0.7603382014	0.4738536256
601	0.7602950215	0.4738029527
602	0.7602950215	0.4737964718
603	0.7602950215	0.4737541988
604	0.7603382014	0.4737368223
605	0.7603382014	0.4736934692
606	0.7603382014	0.47368599
607	0.7603382014	0.4736158355
608	0.7603382014	0.4735622615
609	0.7604854816	0.4735230435
610	0.7604854816	0.4734868658
611	0.7604854816	0.4734559857
612	0.7602950215	0.4733956798
613	0.7604854816	0.4733645773
614	0.7604854816	0.4733216838
615	0.7604854816	0.4732975915
616	0.7605287427	0.4732452884
617	0.7605287427	0.4731961147
618	0.7605287427	0.4731673411
619	0.7605287427	0.4731418764
620	0.7607192254	0.4731050391
621	0.7607192254	0.4730650202
622	0.7607192254	0.4730577135
623	0.7607192254	0.4730260055
624	0.7609096497	0.4729955651
625	0.7609096497	0.4729851265
626	0.7609096497	0.4729403878
627	0.7609096497	0.4729074343
628	0.7609096497	0.472877439
629	0.7609096497	0.4728166272
630	0.7609096497	0.4727881593
631	0.7611000154	0.4727399308
632	0.7611000154	0.472698587
633	0.7611000154	0.4726569027
634	0.7611000154	0.4726344517
635	0.7611000154	0.4726340014
636	0.7611000154	0.472601807
637	0.7611000154	0.4725846064
638	0.7611000154	0.4725722366
639	0.7611000154	0.4725500758
640	0.7611000154	0.4725365946
641	0.7611000154	0.4724907849
642	0.7611000154	0.4724516265
643	0.7611000154	0.4724164222
644	0.7611000154	0.4723941608
645	0.7611000154	0.4723778163
646	0.7611000154	0.4723504831
647	0.7611000154	0.4723254477
648	0.7611000154	0.4722896149
649	0.7611000154	0.4722581329
650	0.7611000154	0.4722429739
651	0.7611000154	0.4722192196
652	0.7611000154	0.4721893197
653	0.7611000154	0.4721888779
654	0.7611000154	0.4721349883
655	0.7612903226	0.4720947239
656	0.7612903226	0.472074561
657	0.7612903226	0.4720357391
658	0.7612903226	0.4719916226
659	0.7612903226	0.4719759383
660	0.7612903226	0.471947862
661	0.7612903226	0.4719045127
662	0.7614805713	0.4718814273
663	0.7614072822	0.4718441814
664	0.7614072822	0.4718068466
665	0.7614072822	0.4717816786
666	0.7614072822	0.471743455
667	0.7614072822	0.4717196247
668	0.7614072822	0.4716792059
669	0.7614072822	0.4716788637
670	0.7614072822	0.4716284148
671	0.7614072822	0.4716262716
672	0.7614072822	0.4715935546
673	0.7614072822	0.4715618458
674	0.7614072822	0.4715459703
675	0.7614072822	0.4715234157
676	0.7615975422	0.4714906476
677	0.7615975422	0.4714419404
678	0.7615975422	0.4714219966
679	0.7615975422	0.4713484257
680	0.7615975422	0.4713317511
681	0.7615975422	0.4713074302
682	0.7615975422	0.4713069631
683	0.7615975422	0.4712804587
684	0.7617145491	0.4712493904
685	0.7617145491	0.471232818
686	0.7617145491	0.4712111344
687	0.7618315919	0.471169593
688	0.7618315919	0.4711241856
689	0.7618315919	0.471092196
690	0.7619486707	0.4710610821
691	0.7619486707	0.4710378987
692	0.7619486707	0.4710088344
693	0.7619486707	0.4709683749
694	0.7619486707	0.4709364047
695	0.7619486707	0.4709023749
696	0.7619486707	0.4708632193
697	0.7619486707	0.4708479997
698	0.7619486707	0.4708340762
699	0.7619486707	0.4708127167
700	0.7619486707	0.4707945437
701	0.7619486707	0.4707662217
702	0.7619486707	0.4707211559
703	0.7619486707	0.4706792365
704	0.7619486707	0.4706637744
705	0.7619486707	0.4706478941
706	0.7619486707	0.4706472312
707	0.7619486707	0.4706007431
708	0.7619486707	0.4705899593
709	0.7619486707	0.4705691609
710	0.7619486707	0.4705471376
711	0.7619486707	0.4705433543
712	0.7619486707	0.4705217081
713	0.7620657854	0.470511337
714	0.7620657854	0.470482954
715	0.7620657854	0.4704498878
716	0.7620657854	0.4704465949
717	0.7620657854	0.47041792
718	0.7620657854	0.4703787507
719	0.7620657854	0.4703240766
720	0.7620657854	0.470288136
721	0.7620657854	0.4702612107
722	0.7620657854	0.4702303361
723	0.7620657854	0.470221083
724	0.7620657854	0.4702184606
725	0.7620657854	0.4701893923
726	0.7620657854	0.470148091
727	0.7620657854	0.4701293757
728	0.7620657854	0.4700900269
729	0.7620657854	0.470049581
730	0.7620657854	0.4700157131
731	0.7620657854	0.4699822498
732	0.7620657854	0.4699629225
733	0.762256032	0.4699311222
734	0.7626076261	0.4698729638
735	0.7626076261	0.4698488674
736	0.7626076261	0.4698125627
737	0.7626076261	0.4697784412
738	0.7626076261	0.4697206397
739	0.7626076261	0.4696852616
740	0.7626076261	0.4696698965
741	0.7626076261	0.4696432849
742	0.7626076261	0.4696317667
743	0.7626076261	0.4695771733
744	0.7626076261	0.4695421899
745	0.7626076261	0.4695062412
746	0.7626076261	0.4694504009
747	0.7627978478	0.4694374955
748	0.7627978478	0.4694292597
749	0.7631336406	0.4693905938
750	0.7631336406	0.469332322
751	0.7631336406	0.4692901921
752	0.7631336406	0.4692582358
753	0.7631336406	0.4692313054
754	0.7631336406	0.469173841
755	0.7631336406	0.4691475908
756	0.7631336406	0.4691098179
757	0.7631336406	0.4690713227
758	0.7631336406	0.4690450028
759	0.7631336406	0.4690180946
760	0.7631336406	0.4689693237
761	0.7631336406	0.4689614019
762	0.7631336406	0.4689155364
763	0.7631336406	0.4688898361
764	0.7631336406	0.4688792539
765	0.7631336406	0.4688710931
766	0.7631336406	0.4688364107
767	0.7631336406	0.4688130027
768	0.7631336406	0.4687929955
769	0.7631336406	0.4687668064
770	0.7631336406	0.4687284134
771	0.7631336406	0.4686928001
772	0.7631336406	0.4686810357
773	0.7631336406	0.4686480105
774	0.7631336406	0.4686449581
775	0.7631336406	0.4685926917
776	0.7631336406	0.4685514089
777	0.7631336406	0.4685210144
778	0.7631336406	0.4684710114
779	0.7631336406	0.468456266
780	0.7631336406	0.4684122953
781	0.7631336406	0.4683549337
782	0.7631336406	0.4683249621
783	0.7633236062	0.46829574
784	0.7633236062	0.468254464
785	0.7634408602	0.4682272106
786	0.7634408602	0.4681968902
787	0.7634408602	0.4681839276
788	0.7634408602	0.4681350069
789	0.7634408602	0.4681065989
790	0.7636754763	0.468071605
791	0.7636754763	0.4680511557
792	0.7636754763	0.4680160889
793	0.7636754763	0.4680036071
794	0.7637480799	0.4679412625
795	0.7637480799	0.4679012777
796	0.7637480799	0.4678633803
797	0.7637480799	0.4678421939
798	0.7637480799	0.467834106
799	0.7637480799	0.4678154621
800	0.7637480799	0.4677772375
801	0.7637480799	0.4677616785
802	0.7637480799	0.4677268625
803	0.7637480799	0.4677204582
804	0.7637480799	0.4676924962
805	0.7637480799	0.4676682644
806	0.7637480799	0.467642175
807	0.7638654171	0.4675876982
808	0.7638654171	0.467568881
809	0.7638654171	0.4675433488
810	0.7638654171	0.4675251473
811	0.7638654171	0.4674799831
812	0.7638654171	0.4674666889
813	0.7638654171	0.4674201611
814	0.7638654171	0.4674059653
815	0.7638654171	0.4673709477
816	0.7638654171	0.4673567967
817	0.7638654171	0.4673331013
818	0.7638654171	0.4673083288
819	0.7638654171	0.4672849547
820	0.7638654171	0.4672489752
821	0.7638654171	0.4672383025
822	0.7638654171	0.4672290408
823	0.7638654171	0.4672103961
824	0.7638654171	0.467183932
825	0.7638654171	0.467153671
826	0.7638654171	0.4671317153
827	0.7638654171	0.467114382
828	0.7638654171	0.4671012899
829	0.7638654171	0.4670857797
830	0.7638654171	0.4670709378
831	0.7638654171	0.4670508783
832	0.7638654171	0.4670151492
833	0.7638654171	0.4669807526
834	0.7638654171	0.4669502138
835	0.7638654171	0.4669129162
836	0.7638654171	0.4668876389
837	0.7638654171	0.4668781806
838	0.7638654171	0.4668643279
839	0.7638654171	0.4668307736
840	0.7638654171	0.4668069409
841	0.7638654171	0.4667748795
842	0.7638654171	0.4667276213
843	0.7638654171	0.4667083208
844	0.7638654171	0.4666827749
845	0.7638654171	0.4666480824
846	0.7638654171	0.4666480545
847	0.7638654171	0.4666207911
848	0.7638654171	0.4666084774
849	0.7638654171	0.4665912501
850	0.7638654171	0.4665812222
851	0.7638654171	0.4665603229
852	0.7638654171	0.4665449246
853	0.7640552995	0.4665115549
854	0.7640552995	0.4664855075
855	0.7640552995	0.4664685715
856	0.7640552995	0.4664323894
857	0.7640552995	0.4664086617
858	0.7640552995	0.4663880832
859	0.7640552995	0.466352254
860	0.7640552995	0.4663262411
861	0.7640552995	0.4663041849
862	0.7640552995	0.4662636329
863	0.7640552995	0.4662389945
864	0.7640552995	0.4661911958
865	0.7640552995	0.4661715436
866	0.7640552995	0.4661354184
867	0.7640552995	0.4661354178
868	0.7640552995	0.4661239412
869	0.7640552995	0.4660936932
870	0.7640552995	0.466065092
871	0.7640552995	0.4660439374
872	0.7640552995	0.465999028
873	0.7640552995	0.4659936429
874	0.7640552995	0.4659704651
875	0.7641001998	0.4659545319
876	0.7642451236	0.4659248955
877	0.7642451236	0.4658908877
878	0.7642451236	0.4658908872
879	0.7642451236	0.4658738067
880	0.7642451236	0.4658472967
881	0.7642451236	0.4658453432
882	0.7642451236	0.4658392269
